,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,7.25,40,40,7.25
1,2,44,44,7.18,84,84,7.21
2,3,50,50,5.6,134,134,6.61
3,4,45,45,7.0,179,179,6.71
